longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
-119.23,34.27,22,3536,615.0,1650,612,4.2381,NEAR OCEAN
-121.67,37.13,19,3269,483.0,1383,452,5.6205,<1H OCEAN
-118.34,34.19,43,1029,252.0,613,255,2.6827,<1H OCEAN
-119.01,36.02,17,3915,742.0,1768,688,2.375,INLAND
-120.12,36.01,18,1165,334.0,1119,308,2.2167,INLAND
-117.05,32.69,14,1689,555.0,1319,527,3.16,NEAR OCEAN
-119.08,36.21,20,1911,389.0,1241,348,2.5156,INLAND
-118.08,33.83,30,2188,556.0,2727,525,2.7759,<1H OCEAN
-121.99,37.4,35,1845,325.0,1343,317,5.3912,<1H OCEAN
-119.32,36.2,25,1427,246.0,772,221,2.2262,INLAND
-119.02,37.64,14,5919,1278.0,265,112,3.2431,INLAND
-119.09,36.42,15,1517,361.0,1275,343,1.5875,INLAND
-122.02,37.11,36,2066,401.0,942,344,5.2417,NEAR OCEAN
-121.87,37.38,16,1050,245.0,722,228,4.5187,<1H OCEAN
-118.21,33.92,36,602,150.0,645,145,3.1964,<1H OCEAN
-118.13,34.15,24,1125,341.0,579,321,2.8125,<1H OCEAN
-121.23,37.82,14,1847,325.0,1030,309,4.9271,INLAND
-122.5,37.92,30,2270,359.0,974,351,5.5926,NEAR BAY
-121.45,38.52,37,1477,321.0,888,312,2.5592,INLAND
-122.01,37.98,25,1476,336.0,777,297,3.5179,NEAR BAY
-117.24,33.17,4,9998,1874.0,3925,1672,4.2826,<1H OCEAN
-119.46,36.25,32,1702,348.0,1016,350,2.5,INLAND
-120.62,37.37,8,2608,428.0,1530,435,3.968,INLAND
-117.72,33.49,4,3623,734.0,1129,530,5.7281,<1H OCEAN
-118.03,33.85,30,2320,448.0,1434,452,4.0865,<1H OCEAN
-117.76,33.87,16,3182,429.0,1663,428,7.0592,<1H OCEAN
-119.25,35.78,35,1927,386.0,1371,414,2.2981,INLAND
-121.95,37.33,31,1866,465.0,821,447,2.3547,<1H OCEAN
-122.12,37.7,19,2495,635.0,1571,579,2.5833,NEAR BAY
-121.45,36.51,29,1045,311.0,1245,273,1.775,<1H OCEAN
-121.58,38.81,25,778,135.0,340,155,1.7857,INLAND
-118.58,34.18,28,908,142.0,368,143,5.6159,<1H OCEAN
-116.35,34.13,9,1969,406.0,805,349,1.5491,INLAND
-117.1,32.75,20,2355,722.0,1848,576,2.0036,NEAR OCEAN
-118.15,33.78,13,3056,861.0,1600,824,3.3003,NEAR OCEAN
-117.43,34.09,18,3172,632.0,1621,573,2.7437,INLAND
-120.47,37.28,19,1548,319.0,1227,309,1.7756,INLAND
-118.26,33.89,36,923,165.0,603,191,3.5687,<1H OCEAN
-120.04,36.97,20,2129,526.0,1845,522,1.8973,INLAND
-118.23,33.91,34,661,146.0,742,143,2.1734,<1H OCEAN
-118.38,34.17,30,2016,622.0,1359,557,2.7708,<1H OCEAN
-122.14,37.84,24,2131,343.0,874,373,5.6349,NEAR BAY
-118.35,33.99,48,2741,439.0,1115,459,5.0514,<1H OCEAN
-121.62,39.75,20,1173,261.0,523,258,1.0625,INLAND
-118.05,34.08,30,1572,427.0,1857,428,2.4914,<1H OCEAN
-121.18,38.78,13,3480,528.0,1432,532,6.1642,INLAND
-117.36,33.18,39,1546,291.0,833,308,2.8893,NEAR OCEAN
-118.31,33.89,37,2278,508.0,1257,498,3.7639,<1H OCEAN
-122.49,37.73,36,1821,292.0,742,298,5.6204,NEAR OCEAN
-120.07,36.74,19,2627,502.0,1295,441,3.087,INLAND
-117.8,33.68,14,2635,516.0,1150,499,4.4391,<1H OCEAN
-118.04,34.18,37,3134,532.0,1220,508,5.2865,INLAND
-121.45,38.53,34,1717,354.0,848,306,2.4741,INLAND
-121.82,39.73,33,2242,517.0,1160,449,1.7426,INLAND
-118.02,33.83,26,3616,892.0,2257,821,3.1497,<1H OCEAN
-122.84,38.07,31,1858,367.0,701,297,3.8269,NEAR OCEAN
-123.01,38.67,33,914,147.0,394,132,4.6875,<1H OCEAN
-121.32,38.66,26,1149,193.0,500,194,5.078,INLAND
-118.08,34.0,35,1188,342.0,1373,332,2.9107,<1H OCEAN
-118.12,34.0,31,3281,768.0,2385,733,2.7308,<1H OCEAN
-117.48,33.94,19,1891,465.0,1693,416,2.7813,INLAND
-122.29,37.81,26,768,152.0,392,127,1.7719,NEAR BAY
-118.17,34.07,37,1155,225.0,814,241,3.875,<1H OCEAN
-117.93,33.94,30,2658,382.0,1135,392,6.0516,<1H OCEAN
-115.98,33.32,8,240,46.0,63,24,1.4688,INLAND
-117.66,34.08,33,3659,590.0,1773,615,3.9227,INLAND
-118.22,34.14,52,2298,406.0,1203,387,5.5291,<1H OCEAN
-121.85,37.66,14,4236,701.0,1833,663,5.6399,INLAND
-117.21,32.75,15,1716,702.0,914,672,1.0612,NEAR OCEAN
-122.71,38.44,27,966,251.0,462,230,1.7,<1H OCEAN
-118.58,34.19,27,4286,1071.0,2863,1033,3.3125,<1H OCEAN
-121.27,38.7,16,3747,586.0,1817,590,4.6488,INLAND
-118.2,33.9,26,1000,275.0,1178,263,2.12,<1H OCEAN
-117.87,33.88,28,2612,602.0,1682,563,3.6417,<1H OCEAN
-119.8,36.78,43,2382,431.0,874,380,3.5542,INLAND
-117.86,33.83,23,2377,403.0,1101,408,5.3439,<1H OCEAN
-122.08,37.68,15,3051,685.0,1479,668,3.5295,NEAR BAY
-117.12,32.69,46,200,77.0,180,65,1.0658,NEAR OCEAN
-117.18,32.84,31,3064,575.0,1476,549,3.6667,NEAR OCEAN
-121.94,37.24,19,1741,294.0,632,279,5.5944,<1H OCEAN
-118.14,33.91,37,932,171.0,578,175,4.375,<1H OCEAN
-122.22,37.78,51,1637,463.0,1543,393,2.489,NEAR BAY
-117.66,33.57,16,2483,443.0,1357,400,5.5545,<1H OCEAN
-121.31,37.96,52,2654,468.0,1157,494,3.226,INLAND
-118.48,35.61,17,4002,930.0,1614,731,1.6236,INLAND
-117.41,34.11,29,3999,772.0,2602,760,3.5481,INLAND
-118.02,34.08,31,2402,632.0,2830,603,2.3333,INLAND
-122.19,37.42,47,932,167.0,295,116,8.4375,NEAR OCEAN
-121.84,39.73,52,857,232.0,520,198,0.987,INLAND
-122.53,37.88,36,2688,485.0,1064,449,4.4583,NEAR BAY
-120.25,37.11,20,2062,466.0,1285,456,1.5319,INLAND
-117.08,32.8,32,1587,268.0,635,249,3.375,NEAR OCEAN
-118.35,34.01,33,3246,601.0,1585,603,3.6629,<1H OCEAN
-117.97,34.09,27,3569,761.0,3339,762,4.1304,INLAND
-117.07,32.63,37,2303,379.0,1026,357,3.455,NEAR OCEAN
-118.36,33.8,38,2553,400.0,1042,393,6.9742,NEAR OCEAN
-117.15,33.02,4,15029,2279.0,5613,1696,7.2731,NEAR OCEAN
-120.65,36.98,26,1787,364.0,1548,362,1.7188,INLAND
-121.96,37.36,16,5040,1325.0,3150,1196,4.2837,<1H OCEAN
-117.69,33.6,17,2150,361.0,1194,335,5.4622,<1H OCEAN
-123.18,39.26,25,3066,570.0,1558,535,3.788,<1H OCEAN
-118.01,34.13,36,1332,217.0,648,203,4.7159,INLAND
-117.26,33.09,13,3730,761.0,1335,603,4.1667,NEAR OCEAN
-117.75,33.6,5,4944,1164.0,1727,948,4.9,<1H OCEAN
-118.39,34.03,28,1722,536.0,1161,481,3.2228,<1H OCEAN
-122.57,38.11,24,2863,734.0,1583,682,3.1981,NEAR BAY
-122.28,37.91,41,3009,482.0,1053,490,5.828,NEAR BAY
-117.32,33.25,7,2499,420.0,1314,398,4.85,<1H OCEAN
-122.01,37.55,34,2791,495.0,1276,468,4.9167,NEAR BAY
-119.12,36.05,27,1575,321.0,1063,317,2.1477,INLAND
-118.14,33.95,36,1942,355.0,891,348,3.6635,<1H OCEAN
-117.59,34.02,14,1463,261.0,881,245,4.7857,INLAND
-122.33,37.94,45,1226,279.0,590,260,2.8833,NEAR BAY
-117.97,34.14,33,1328,348.0,903,329,3.1094,INLAND
-121.35,38.02,15,3583,644.0,2183,643,3.428,INLAND
-118.33,34.04,52,2545,401.0,1004,372,3.6373,<1H OCEAN
-121.17,38.76,14,2028,255.0,781,251,6.5322,INLAND
-117.67,33.44,25,2994,519.0,903,410,6.6852,<1H OCEAN
-117.89,34.13,34,2159,386.0,1443,385,4.1995,<1H OCEAN
-117.68,34.14,4,4791,695.0,1871,659,6.9532,INLAND
-116.62,34.23,14,6438,1719.0,1586,691,1.6136,INLAND
-117.07,33.12,12,2453,599.0,1251,529,2.4122,<1H OCEAN
-118.08,33.82,26,4259,588.0,1644,581,6.2519,<1H OCEAN
-119.69,36.43,29,1799,356.0,1278,387,1.7813,INLAND
-118.38,33.87,21,4151,1018.0,2054,925,4.9821,<1H OCEAN
-121.43,38.61,33,2289,576.0,1100,503,2.1694,INLAND
-122.0,37.08,17,4154,739.0,2149,693,5.5919,NEAR OCEAN
-117.27,34.05,34,1703,395.0,849,359,3.1607,INLAND
-117.06,32.57,25,1268,282.0,991,299,3.0284,NEAR OCEAN
-118.35,33.91,25,1884,554.0,1337,549,2.8512,<1H OCEAN
-121.78,38.66,18,4224,632.0,1907,641,4.8226,INLAND
-118.06,33.86,16,5603,938.0,3045,893,5.0778,<1H OCEAN
-118.34,33.93,36,1528,486.0,1824,470,2.2679,<1H OCEAN
-121.55,39.44,31,1434,283.0,811,289,1.7727,INLAND
-118.05,33.81,26,2523,437.0,1377,450,5.2542,<1H OCEAN
-118.11,34.14,52,2401,332.0,810,308,6.0948,<1H OCEAN
-118.22,34.04,43,2343,803.0,2468,707,1.5163,<1H OCEAN
-119.35,36.21,26,2481,586.0,1445,498,1.6378,INLAND
-119.88,34.43,16,1734,365.0,962,391,4.4777,NEAR OCEAN
-119.29,34.28,38,2387,748.0,1537,741,2.3147,NEAR OCEAN
-122.28,37.8,38,684,176.0,344,155,2.0114,NEAR BAY
-118.45,34.16,33,2544,500.0,1035,492,4.475,<1H OCEAN
-121.61,39.13,21,1432,328.0,933,336,1.6823,INLAND
-119.27,36.32,9,3631,635.0,1881,628,4.7723,INLAND
-122.05,37.93,5,4274,1153.0,1503,881,4.0473,NEAR BAY
-122.53,37.96,35,908,194.0,413,197,3.9917,NEAR BAY
-118.19,34.03,50,1183,246.0,851,231,3.2639,<1H OCEAN
-118.14,34.06,27,5257,1082.0,3496,1036,3.3906,<1H OCEAN
-121.86,37.35,46,1448,330.0,1094,331,2.4968,<1H OCEAN
-118.01,34.1,35,2120,412.0,1375,405,3.4609,INLAND
-119.02,35.39,52,191,52.0,106,49,2.0455,INLAND
-117.07,32.81,15,2000,402.0,778,369,4.3594,<1H OCEAN
-122.28,37.86,49,2932,668.0,1361,608,1.9798,NEAR BAY
-117.11,32.58,28,1869,407.0,1074,344,2.5988,NEAR OCEAN
-118.17,33.77,38,2239,721.0,984,684,2.346,NEAR OCEAN
-118.43,34.3,33,2443,498.0,1601,484,4.0223,<1H OCEAN
-121.27,38.05,26,378,75.0,164,65,3.4107,INLAND
-122.25,38.0,16,2978,411.0,1531,400,6.5006,NEAR BAY
-118.3,34.17,17,4041,1169.0,3309,1117,2.6016,<1H OCEAN
-120.63,38.75,17,3145,621.0,1432,559,2.7201,INLAND
-124.13,40.79,32,2017,359.0,855,346,3.5833,NEAR OCEAN
-118.42,34.29,34,1489,326.0,1389,313,3.4821,<1H OCEAN
-117.38,33.97,29,1157,297.0,2027,253,1.6389,INLAND
-118.84,34.15,17,3785,494.0,1527,507,8.4443,<1H OCEAN
-119.11,36.21,10,1972,455.0,1469,442,1.5407,INLAND
-118.39,34.17,26,3345,818.0,1599,773,3.3516,<1H OCEAN
-119.18,34.21,29,4039,680.0,1677,644,4.3897,NEAR OCEAN
-118.5,34.04,52,2233,317.0,769,277,8.3839,<1H OCEAN
-118.61,34.15,32,4491,815.0,1696,749,4.9102,<1H OCEAN
-118.29,34.26,33,3177,713.0,1845,612,4.008,<1H OCEAN
-117.31,33.97,28,3420,691.0,1502,656,3.4896,INLAND
-118.12,33.91,35,1518,279.0,857,251,3.6917,<1H OCEAN
-117.22,32.75,26,617,112.0,251,110,3.8036,NEAR OCEAN
-118.66,34.23,18,897,142.0,263,110,6.1288,<1H OCEAN
